FECHA,ESSALUD,EXONERADO,IGNORADO,OTROS,PRIVADOS,SANIDAD EP,SANIDAD FAP,SANIDAD NAVAL,SANIDAD PNP,SIN REGISTRO,SIS,SOAT,USUARIO
2020-01-01,25.0,0.0,19.0,0.0,0.0,1.0,0.0,0.0,2.0,0,22.0,0.0,0.0
2020-01-02,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0,25.0,0.0,0.0
2020-01-03,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,4.0,0,6.0,0.0,0.0
2020-01-04,0.0,0.0,7.0,2.0,6.0,0.0,0.0,0.0,0.0,0,11.0,0.0,1.0
2020-01-05,18.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,27.0,0.0,3.0
2020-01-06,25.0,0.0,4.0,8.0,0.0,1.0,0.0,0.0,0.0,0,20.0,0.0,5.0
2020-01-07,8.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0,8.0,0.0,1.0
2020-01-08,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,26.0,0.0,2.0
2020-01-09,11.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,0,38.0,0.0,0.0
2020-01-10,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0,6.0,0.0,0.0
2020-01-11,9.0,0.0,7.0,0.0,5.0,1.0,1.0,0.0,0.0,0,23.0,0.0,0.0
2020-01-12,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0,23.0,0.0,3.0
2020-01-13,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2020-01-14,31.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0,8.0,0.0,0.0
2020-01-15,10.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,2.0,0,3.0,0.0,5.0
2020-01-16,9.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0,31.0,0.0,1.0
2020-01-17,12.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,15.0,0.0,0.0
2020-01-18,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0,23.0,0.0,0.0
2020-01-19,9.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0,0.0,0.0,0.0
2020-01-20,0.0,0.0,10.0,3.0,2.0,1.0,2.0,0.0,4.0,0,23.0,0.0,1.0
2020-01-21,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2020-01-22,35.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,2.0,0.0,0.0
2020-01-23,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0,24.0,0.0,0.0
2020-01-24,12.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,20.0,0.0,2.0
2020-01-25,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,0,28.0,0.0,4.0
2020-01-26,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,5.0,0.0,0.0
2020-01-27,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0,23.0,0.0,3.0
2020-01-28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,14.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0,11.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0,0.0,0.0,0.0
