SEMANA_DEL_AÑO,ESSALUD,EXONERADO,IGNORADO,OTROS,PRIVADOS,SANIDAD EP,SANIDAD FAP,SANIDAD NAVAL,SANIDAD PNP,SIN REGISTRO,SIS,SOAT,USUARIO
"(2020, 1)",43.0,0.0,37.0,6.0,6.0,3.0,0.0,0.0,6.0,0,91.0,0.0,4.0
"(2020, 2)",74.0,0.0,18.0,8.0,12.0,7.0,2.0,0.0,4.0,0,144.0,0.0,11.0
"(2020, 3)",73.0,1.0,23.0,2.0,3.0,11.0,0.0,4.0,3.0,0,80.0,0.0,6.0
"(2020, 4)",78.0,0.0,15.0,7.0,4.0,5.0,5.0,0.0,11.0,0,102.0,0.0,7.0
"(2020, 5)",36.0,0.0,0.0,2.0,2.0,9.0,2.0,0.0,11.0,0,98.0,0.0,6.0
"(2020, 6)",58.0,0.0,13.0,5.0,5.0,5.0,1.0,2.0,4.0,0,110.0,0.0,3.0
"(2020, 7)",77.0,0.0,26.0,8.0,5.0,11.0,4.0,1.0,4.0,0,72.0,0.0,8.0
"(2020, 8)",74.0,0.0,6.0,1.0,11.0,8.0,0.0,1.0,11.0,0,110.0,0.0,0.0
"(2020, 9)",135.0,0.0,24.0,1.0,7.0,7.0,2.0,0.0,2.0,0,95.0,0.0,9.0
"(2020, 10)",89.0,0.0,0.0,9.0,4.0,7.0,1.0,2.0,7.0,0,162.0,0.0,11.0
"(2020, 11)",149.0,0.0,0.0,2.0,3.0,9.0,4.0,1.0,5.0,0,192.0,0.0,4.0
"(2020, 12)",123.0,0.0,0.0,5.0,6.0,8.0,2.0,1.0,6.0,0,53.0,0.0,0.0
"(2020, 13)",109.0,0.0,0.0,3.0,2.0,5.0,0.0,0.0,12.0,0,21.0,0.0,0.0
"(2020, 14)",146.0,0.0,0.0,5.0,8.0,8.0,6.0,3.0,19.0,0,98.0,0.0,2.0
"(2020, 15)",226.0,0.0,0.0,5.0,18.0,7.0,3.0,1.0,2.0,0,167.0,0.0,12.0
"(2020, 16)",413.0,1.0,6.0,27.0,25.0,12.0,2.0,2.0,17.0,0,426.0,0.0,5.0
"(2020, 17)",652.0,0.0,84.0,17.0,37.0,15.0,4.0,4.0,34.0,0,827.0,0.0,21.0
"(2020, 18)",992.0,2.0,167.0,36.0,51.0,20.0,3.0,11.0,52.0,0,1194.0,0.0,40.0
"(2020, 19)",1283.0,0.0,270.0,39.0,47.0,14.0,6.0,19.0,64.0,0,1488.0,0.0,31.0
"(2020, 20)",1474.0,0.0,354.0,63.0,60.0,20.0,5.0,29.0,73.0,0,1638.0,0.0,57.0
"(2020, 21)",1593.0,0.0,375.0,49.0,73.0,30.0,9.0,19.0,89.0,0,1879.0,0.0,43.0
"(2020, 22)",1755.0,2.0,380.0,65.0,95.0,28.0,19.0,33.0,113.0,0,1809.0,0.0,67.0
"(2020, 23)",1841.0,0.0,331.0,61.0,80.0,34.0,10.0,30.0,95.0,0,1886.0,0.0,92.0
"(2020, 24)",1814.0,0.0,339.0,74.0,72.0,38.0,16.0,26.0,104.0,0,1999.0,0.0,52.0
"(2020, 25)",1767.0,0.0,330.0,64.0,55.0,27.0,11.0,24.0,102.0,0,1960.0,0.0,63.0
"(2020, 26)",1595.0,0.0,357.0,56.0,55.0,25.0,5.0,12.0,80.0,0,1702.0,0.0,81.0
"(2020, 27)",1714.0,1.0,328.0,48.0,57.0,25.0,7.0,29.0,91.0,0,1701.0,0.0,50.0
"(2020, 28)",1768.0,0.0,367.0,60.0,77.0,18.0,5.0,18.0,73.0,0,1859.0,0.0,54.0
"(2020, 29)",1854.0,0.0,401.0,57.0,71.0,20.0,15.0,15.0,101.0,0,1973.0,0.0,65.0
"(2020, 30)",1848.0,0.0,425.0,97.0,74.0,24.0,9.0,19.0,72.0,0,1969.0,0.0,53.0
