FECHA,FEMENINO,INDETERMINADO,MASCULINO,SIN REGISTRO
2020-01-01,16.0,0.0,46.0,0.0
2020-01-02,21.0,0.0,0.0,0.0
2020-01-03,2.0,0.0,6.0,0.0
2020-01-04,30.0,0.0,0.0,0.0
2020-01-05,29.0,1.0,16.0,0.0
2020-01-06,22.0,0.0,37.0,0.0
2020-01-07,12.0,0.0,0.0,0.0
2020-01-08,20.0,0.0,14.0,0.0
2020-01-09,41.0,0.0,6.0,0.0
2020-01-10,3.0,0.0,0.0,0.0
2020-01-11,26.0,0.0,14.0,0.0
2020-01-12,19.0,0.0,15.0,0.0
2020-01-13,0.0,0.0,12.0,0.0
2020-01-14,30.0,0.0,10.0,0.0
2020-01-15,9.0,0.0,14.0,0.0
2020-01-16,9.0,0.0,28.0,0.0
2020-01-17,0.0,0.0,23.0,0.0
2020-01-18,5.0,0.0,0.0,0.0
2020-01-19,0.0,0.0,0.0,0.0
2020-01-20,32.0,0.0,6.0,0.0
2020-01-21,2.0,0.0,0.0,0.0
2020-01-22,16.0,0.0,15.0,0.0
2020-01-23,2.0,1.0,17.0,0.0
2020-01-24,20.0,0.0,6.0,0.0
2020-01-25,29.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,3.0,0.0
2020-01-27,5.0,0.0,12.0,0.0
2020-01-28,7.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,1.0,0.0,12.0,0.0
2020-02-01,9.0,0.0,8.0,0.0
2020-02-02,13.0,1.0,16.0,0.0
2020-02-03,5.0,0.0,17.0,0.0
2020-02-04,5.0,0.0,8.0,0.0
2020-02-05,20.0,0.0,0.0,0.0
2020-02-06,29.0,0.0,12.0,0.0
2020-02-07,0.0,0.0,16.0,0.0
2020-02-08,0.0,0.0,13.0,0.0
2020-02-09,24.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,25.0,0.0,0.0,0.0
2020-02-12,13.0,0.0,0.0,0.0
2020-02-13,20.0,0.0,8.0,0.0
2020-02-14,5.0,0.0,31.0,0.0
