SEMANA_DEL_AÑO,AMAZONAS,ANCASH,APURIMAC,AREQUIPA,AYACUCHO,CAJAMARCA,CALLAO,CUSCO,HUANCAVELICA,HUANUCO,ICA,JUNIN,LA LIBERTAD,LAMBAYEQUE,LIMA METROPOLITANA,LIMA REGION,LORETO,MADRE DE DIOS,MOQUEGUA,PASCO,PIURA,PUNO,SAN MARTIN,TACNA,TUMBES,UCAYALI
"(2020, 10)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"(2020, 11)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"(2020, 12)",0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,16.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
"(2020, 13)",0.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,5.0,41.0,1.0,8.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0
"(2020, 14)",1.0,1.0,0.0,15.0,0.0,2.0,16.0,1.0,0.0,2.0,10.0,4.0,5.0,23.0,124.0,6.0,10.0,0.0,0.0,0.0,10.0,0.0,3.0,1.0,3.0,10.0
"(2020, 15)",0.0,11.0,1.0,7.0,1.0,4.0,47.0,1.0,1.0,1.0,14.0,9.0,10.0,72.0,336.0,11.0,20.0,0.0,0.0,1.0,27.0,1.0,0.0,0.0,8.0,9.0
"(2020, 16)",0.0,31.0,1.0,8.0,2.0,4.0,80.0,0.0,0.0,0.0,23.0,12.0,17.0,129.0,561.0,18.0,34.0,0.0,0.0,1.0,78.0,1.0,2.0,0.0,8.0,28.0
"(2020, 17)",1.0,45.0,2.0,13.0,3.0,3.0,148.0,2.0,2.0,1.0,35.0,11.0,27.0,195.0,846.0,37.0,189.0,1.0,1.0,1.0,134.0,2.0,3.0,1.0,15.0,85.0
"(2020, 18)",2.0,71.0,0.0,13.0,2.0,5.0,161.0,1.0,2.0,4.0,54.0,11.0,42.0,258.0,1160.0,45.0,383.0,0.0,1.0,5.0,238.0,5.0,2.0,1.0,5.0,178.0
"(2020, 19)",8.0,106.0,1.0,20.0,6.0,5.0,227.0,2.0,3.0,11.0,65.0,35.0,45.0,256.0,1401.0,62.0,505.0,2.0,1.0,3.0,368.0,3.0,11.0,2.0,21.0,166.0
"(2020, 20)",11.0,98.0,0.0,15.0,8.0,5.0,303.0,6.0,1.0,7.0,74.0,31.0,59.0,257.0,1656.0,71.0,342.0,2.0,2.0,3.0,434.0,2.0,15.0,2.0,29.0,158.0
"(2020, 21)",8.0,118.0,1.0,30.0,8.0,8.0,354.0,3.0,5.0,20.0,105.0,28.0,91.0,224.0,1837.0,85.0,222.0,5.0,4.0,5.0,501.0,1.0,13.0,5.0,53.0,113.0
"(2020, 22)",5.0,147.0,3.0,54.0,11.0,10.0,325.0,3.0,4.0,19.0,152.0,36.0,166.0,231.0,2010.0,116.0,158.0,1.0,2.0,2.0,454.0,4.0,27.0,3.0,59.0,66.0
